"14:0",g,7.436,3,0.020,0.372,1.056,16.880,8.403
"16:0",g,21.697,3,0.270,1.085,3.081,49.252,24.518
"17:0",g,0.560,3,0.015,0.028,0.080,1.271,0.633
"18:0",g,9.999,3,0.096,0.500,1.420,22.698,11.299
"20:0",g,0.138,3,0.002,0.007,0.020,0.313,0.156
"Fatty acids, total monounsaturated",g,21.021,--,--,1.051,2.985,47.718,23.754
"16:1 undifferentiated",g,0.961,--,--,0.048,0.136,2.181,1.086
"16:1 c",g,0.961,3,0.008,0.048,0.136,2.181,1.086
"18:1 undifferentiated",g,19.961,--,--,0.998,2.834,45.311,22.556
"18:1 c",g,16.978,3,0.397,0.849,2.411,38.540,19.185
"18:1 t",g,2.982,3,0.112,0.149,0.423,6.769,3.370
"20:1",g,0.100,3,0.009,0.005,0.014,0.227,0.113
"22:1 undifferentiated",g,0.000,3,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,3.043,--,--,0.152,0.432,6.908,3.439
"18:2 undifferentiated",g,2.728,--,--,0.136,0.387,6.193,3.083
"18:2 n-6 c,c",g,2.166,3,0.024,0.108,0.308,4.917,2.448
"18:2 CLAs",g,0.267,3,0.017,0.013,0.038,0.606,0.302
"18:2 i",g,0.296,3,0.048,0.015,0.042,0.672,0.334
"18:3 undifferentiated",g,0.315,--,--,0.016,0.045,0.715,0.356
"18:3 n-3 c,c,c (ALA)",g,0.315,3,0.013,0.016,0.045,0.715,0.356
"18:4",g,0.000,3,0.000,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,3,0.000,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,3,0.000,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,3,0.000,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,3,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total trans",g,3.278,--,--,0.164,0.465,7.441,3.704
"Fatty acids, total trans-monoenoic",g,2.982,--,--,0.149,0.423,6.769,3.370
"Cholesterol",mg,215,3,1.261,11,31,488,243
"Stigmasterol",mg,0,3,0.000,0,0,0,0
"Campesterol",mg,0,3,0.000,0,0,0,0
"Beta-sitosterol",mg,4,3,0.118,0,1,9,5
Amino Acids
"Tryptophan",g,0.012,--,--,0.001,0.002,0.027,0.014
"Threonine",g,0.038,--,--,0.002,0.005,0.086,0.043
"Isoleucine",g,0.051,--,--,0.003,0.007,0.116,0.058
"Leucine",g,0.083,--,--,0.004,0.012,0.188,0.094
"Lysine",g,0.067,--,--,0.003,0.010,0.152,0.076
"Methionine",g,0.021,--,--,0.001,0.003,0.048,0.024
"Cystine",g,0.008,--,--,0.000,0.001,0.018,0.009
"Phenylalanine",g,0.041,--,--,0.002,0.006,0.093,0.046
"Tyrosine",g,0.041,--,--,0.002,0.006,0.093,0.046
"Valine",g,0.057,--,--,0.003,0.008,0.129,0.064
"Arginine",g,0.031,--,--,0.002,0.004,0.070,0.035
"Histidine",g,0.023,--,--,0.001,0.003,0.052,0.026
"Alanine",g,0.029,--,--,0.001,0.004,0.066,0.033
"Aspartic acid",g,0.064,--,--,0.003,0.009,0.145,0.072
"Glutamic acid",g,0.178,--,--,0.009,0.025,0.404,0.201
"Glycine",g,0.018,--,--,0.001,0.003,0.041,0.020
"Proline",g,0.082,--,--,0.004,0.012,0.186,0.093
"Serine",g,0.046,--,--,0.002,0.007,0.104,0.052
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0


Sources of Data
1,"Food and Drug Administration (FDA), DHHS","FDA Total Diet Study",1995,,
2,"Food and Drug Administration (FDA), DHHS","FDA Total Diet Study",1996,,
3,"Food and Drug Administration (FDA), DHHS","FDA Total Diet Study",1997,,
4,"Food and Drug Administration (FDA), DHHS","FDA Total Diet Study",1991,,
5,"Food and Drug Administration (FDA), DHHS","FDA Total Diet Study",1992,,
6,"Food and Drug Administration (FDA), DHHS","FDA Total Diet Study",1993,,
7,"Food and Drug Administration (FDA), DHHS","FDA Total Diet Study",1994,,
8,"Donald Taves","Dietary Intake of Fluoride Ashed (total fluoride) v. Unashed (inorganic fluoride) Analysis of Individual Foods",1983,British Journal of Nutrition,49 pp. 295-295
9,"Robert Ophaug","Fluoride, Unpublished - Ophaug",,Microdiffision, pp. 295-295
10,"A. Kingman","Unpublished data. NIDR/NIH, 1984",1984,Unpublished data. NIDR/NIH, 1984., pp. 295-295
11,"National Institutes of Health (NIH)","Carotenoid analyses of U.S. foods, Food Composition Laboratory",1997,, pp. 295-295
12,"Nutrient Data Laboratory, ARS, USDA","Determination of the Tocopherol Content of Selected Foods",1992,,BeltsvilleMD pp. 295-295
13,"Nutrient Data Laboratory, ARS, USDA","Choline Study, Local pickup UNC, NFNAP",2003,,BeltsvilleMD pp. 295-295
14,"S.L. Booth, J.A. Sadowski, J.A. T. Pennington","Phylloquinone (Vitamin K) Content of Foods in the U.S. Food and Drug Administration's Total Diet Study",1995,Journal of Agricultural and Food Chemistry,436 pp. 1574-1574
15,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 4c",2001,,BeltsvilleMD pp. 1574-1574
